title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Membina Perpustakaan Sekolah,Text,,,Kanisius,1986,,,020 TIM m,Indonesia,yogyakarta,20,,,,TIM,
Pelayanan Perpustakaan,Text,,,Kanisius,1982,,,020 SUM p,Indonesia,yogyakarta,20,,,,Drs. P. Sumardji,
Perpustakaan Organisasi dan Tatakerjanya,Text,,,Kanisius,1988,,,020 SUM p,Indonesia,yogyakarta,20,,,,Drs. P. Sumardji,
Menimba Ilmu dari Museum,Text,,,Balai Pustaka,1993,,,060 kus m,Indonesia,Jakarta,60,,,,Pratameng Kusumo,
Pedoman Ringkas Penyusunan karya Tulis,Text,,,pustaka Indonesia,1983,,,028 LAT p,Indonesia,Bukit Tinggi,28,,,,Drs. Zainuar Latief,
Memperoleh Inspirasi dari Alam,Text,,,Citra malang,1999,,,001 SET m,Indonesia,malang,1,,,,Koen Setyawan,
Bagaimana Mengelola Penerbitan Media Sekolah,Text,,,Kanisius,1995,,,070.4 PAS b,Indonesia,yogyakarta,70.4,,,,Rondang Pasaribu,
Pengetahuan Ringkas - I,Text,,,CV. Muara Cipta,1983,,,001.2 IST p,Indonesia,Jakarta,1.2,,,,Istijar T.A,
Pengetahuan Ringkas - II,Text,,,CV. Muara Cipta,1983,,,001.2 IST p,Indonesia,Jakarta,1.2,,,,Istijar T.A,
Kumpulan Fikiran,Text,,,Endang,1982,,,001 NUR k,Indonesia,Jakarta,1,,,,Ahmad Nuryani,
Aku Ingin Tahu,Text,,,PT. Pantja Simpati,1987,,,001 TIM a,Indonesia,,1,,,,TIM,
Seminar Nasional Tentang Pemulung,Text,,,-,1989,,,001.4 TIM p,Indonesia,Malang,1.4,,,,TIM,
Bank Ilmu Pengetahuan Mutakhir,Text,,,Avocado,2008,,,001 SPU b,Indonesia,yogyakarta,1,,,,maureen Spurgeon,
Mengenal Alam Semesta For Beginners,Text,,,Mizan,1997,,,001 PIR m,Indonesia,Jakarta,1,,,,Felix Pirani dan Christine Roche,
Pengelolaan Perpustakaan sekolah,Text,,,Bumi Aksara,2008,,,025 BAF p,Indonesia,Jakarta,25,,,,"Drs. Ibrahim Bafadal.,M.Pd",
Manfaat klipping Dan Majalah Dinding,Serial,,,Menara Mega Perkasa,2001,,,028 RAH m,Indonesia,Jakarta,28,,,,Abdul Rahman Rahim,
KTSP Dasar Pemahaman Dan Pengembangan,Text,,,Bumi Aksara,2007,,,020.15 MUS k,Indonesia,Jakarta,20.15,,,,masnur Muslich,
Panduan Sistem Informasi Akademik Sekolah Berbasis WEB,Text,,,Loko Media,2012,,,004.2 SAL p,Indonesia,yogyakarta,4.2,,,,Ansari saleh Ahmar,
Terampil Wawancara,Text,,,Grasindo,2001,,,070.4 FAD t,Indonesia,Jakarta,70.4,,,,R. Fadli,
55 Tip Terbaik Google +,Text,,,Elex Media Komputindo,2011,,,004.6 ORO l,Indonesia,Jakarta,4.6,,,,Fary SJ Oroh,
Mudah Menjadi You Tuber Profesional,Text,,,Andi,2019,,,006 RAC m,Indonesia,yogyakarta,6,,,,mandira Rachmayanti,
Dokumentasi Photoshop,Text,,,Elex Media Komputindo,2010,,,004.2 REI d,Indonesia,Jakarta,4.2,,,,Friza Reihan,
Digital Painting With Photoshop,Text,,,Elex Media Komputindo,2010,,,004.2 GUN d,Indonesia,Jakarta,4.2,,,,Wenart Gunadi,
cara Praktis membasmi Virus Ganas Di Komputer,Text,,,Mediakita,2009,,,005.3 HIR c,Indonesia,Jakarta,5.3,,,,A.M. Hirin & Anhar,
Teknik Cepat Membuat Forum Internet,Text,,,Elex Media Komputindo,2009,,,003 TIM t,Indonesia,Jakarta,3,,,,TIM,
7 Jam Belajar Interaktif Word 2010 Untuk Orang awam,Text,,,Maxikom,2011,,,005 NIN t,Indonesia,Palembang,5,,,,Dwi Ninggar,
feature Tulisan Jurnalistik Yang Kreatif,Serial,,,Andi,2017,,,070.4 LES f,Indonesia,yogyakarta,70.4,,,,Fanny Lesmana,
Cerdas Jelajah Internet,Text,,,Kriya Pustaka,2009,,,003 HAR c,Indonesia,Jakarta,3,,,,Rudi haryanto,
Adobe InDesign CS5 Untuk Desain Publishing Buku & Majalah,Serial,,,Andi,2010,,,004.2 HER a,Indonesia,yogyakarta,4.2,,,,TIM,
cara Praktis menglola File Di Komputer,Text,,,Mediakita,2009,,,004.3 SET c,Indonesia,Jakarta,4.3,,,,Jarot Setyaji,
