item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
414/89,020 TIM m,Text,414/89,1989-11-10,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Membina Perpustakaan Sekolah
0337/,020 SUM p,Text,0337/,1985-04-01,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pelayanan Perpustakaan
2058,020 SUM p,Text,2058,1995-03-14,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Perpustakaan Organisasi dan Tatakerjanya
45/93,060 kus m,Text,45/93,1994-04-28,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Menimba Ilmu dari Museum
17/89,028 LAT p,Text,17/89,1985-01-28,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pedoman Ringkas Penyusunan karya Tulis
288,001 SET m,Text,288,1993-12-06,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Memperoleh Inspirasi dari Alam
2641,070.4 PAS b,Text,2641,7 Nov. 1997,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Bagaimana Mengelola Penerbitan Media Sekolah
517,001.2 IST p,Text,517,23 Januari 1987,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pengetahuan Ringkas - I
518,001.2 IST p,Text,518,23 Januari 1987,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pengetahuan Ringkas - II
212,001 NUR k,Text,212,3 Nov. 1984,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kumpulan Fikiran
598,001 TIM a,Text,598,30 Juni 1988,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Aku Ingin Tahu
1856,001.4 TIM p,Text,1856,15 Juli 1994,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Seminar Nasional Tentang Pemulung
4889,001 SPU b,Text,4889,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Bank Ilmu Pengetahuan Mutakhir
284,001 PIR m,Text,284,6 Desember 1999,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Mengenal Alam Semesta For Beginners
4768,025 BAF p,Text,4768,11 Agustus 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pengelolaan Perpustakaan sekolah
3369,028 RAH m,Serial,3369,22 Oktober 2003,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Manfaat klipping Dan Majalah Dinding
5279,020.15 MUS k,Text,5279,2010-09-16,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,KTSP Dasar Pemahaman Dan Pengembangan
5929,004.2 SAL p,Text,5929,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Panduan Sistem Informasi Akademik Sekolah Berbasis WEB
3622,070.4 FAD t,Text,3622,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Terampil Wawancara
6847,004.6 ORO l,Text,6847,17 Juli 2017,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,55 Tip Terbaik Google +
7142,006 RAC m,Text,7142,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Mudah Menjadi You Tuber Profesional
5722,004.2 REI d,Text,5722,31-10-2011,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Dokumentasi Photoshop
5051,004.2 GUN d,Text,5051,18 Maret 2010,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Digital Painting With Photoshop
4905,005.3 HIR c,Text,4905,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,cara Praktis membasmi Virus Ganas Di Komputer
6738,003 TIM t,Text,6738,5 Juni 1017,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Teknik Cepat Membuat Forum Internet
6268,005 NIN t,Text,6268,16 Juni 2014,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,7 Jam Belajar Interaktif Word 2010 Untuk Orang awam
7135,070.4 LES f,Serial,7135,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,feature Tulisan Jurnalistik Yang Kreatif
4751,003 HAR c,Text,4751,24 Juni 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Cerdas Jelajah Internet
5930,004.2 HER a,Serial,5930,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Adobe InDesign CS5 Untuk Desain Publishing Buku & Majalah
4901,004.3 SET c,Text,4901,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,cara Praktis menglola File Di Komputer
6088,004.2 RAZ k,Text,6088,2013-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kumpas Tuntas Microsoft Office 2003
6089,004.2 PER t,Text,6089,2013-09-30,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,36 jam Belajar Komputer Microsoft Access 2003
6267,005 GUM m,Text,6267,16 Juli 2014,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Modul Microsoft Excel 2007
6266,005 WIN b,Text,6266,16 Juli 2014,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Belajar Mudah & Cepat Microsoft Excel 2010
6138,004.2 AND s,Text,6138,3 januari 2014,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,123 Fungsi dan Formula Excel 2010
