item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
414/89,020 TIM m,Text,414/89,1989-11-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Membina Perpustakaan Sekolah
0337/,020 SUM p,Text,0337/,1985-04-01,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pelayanan Perpustakaan
2058,020 SUM p,Text,2058,1995-03-14,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Perpustakaan Organisasi dan Tatakerjanya
45/93,060 kus m,Text,45/93,1994-04-28,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Menimba Ilmu dari Museum
17/89,028 LAT p,Text,17/89,1985-01-28,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pedoman Ringkas Penyusunan karya Tulis
288,001 SET m,Text,288,1993-12-06,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Memperoleh Inspirasi dari Alam
2641,070.4 PAS b,Text,2641,1997-11-07,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Bagaimana Mengelola Penerbitan Media Sekolah
517,001.2 IST p,Text,517,1987-01-23,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengetahuan Ringkas - I
518,001.2 IST p,Text,518,1987-01-23,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengetahuan Ringkas - II
212,001 NUR k,Text,212,1984-11-03,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kumpulan Fikiran
598,001 TIM a,Text,598,1988-06-30,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Aku Ingin Tahu
1856,001.4 TIM p,Text,1856,1994-07-15,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Seminar Nasional Tentang Pemulung
4889,001 SPU b,Text,4889,2008-08-12,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Bank Ilmu Pengetahuan Mutakhir
284,001 PIR m,Text,284,1999-12-06,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Mengenal Alam Semesta For Beginners
4768,025 BAF p,Text,4768,2009-08-11,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengelolaan Perpustakaan sekolah
3369,028 RAH m,Serial,3369,2003-10-22,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Manfaat klipping Dan Majalah Dinding
5279,020.15 MUS k,Text,5279,2010-09-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,KTSP Dasar Pemahaman Dan Pengembangan
5929,004.2 SAL p,Text,5929,2013-02-20,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Panduan Sistem Informasi Akademik Sekolah Berbasis WEB
3622,070.4 FAD t,Text,3622,2004-10-27,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Terampil Wawancara
6847,004.6 ORO l,Text,6847,2017-07-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,55 Tip Terbaik Google +
7142,006 RAC m,Text,7142,2019-10-26,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Mudah Menjadi You Tuber Profesional
5722,004.2 REI d,Text,5722,2011-10-31,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Dokumentasi Photoshop
5051,004.2 GUN d,Text,5051,2010-03-18,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Digital Painting With Photoshop
4905,005.3 HIR c,Text,4905,2009-12-04,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,cara Praktis membasmi Virus Ganas Di Komputer
6738,003 TIM t,Text,6738,2017-06-05,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Teknik Cepat Membuat Forum Internet
6268,005 NIN t,Text,6268,2014-06-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,7 Jam Belajar Interaktif Word 2010 Untuk Orang awam
7135,070.4 LES f,Serial,7135,2019-10-26,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,feature Tulisan Jurnalistik Yang Kreatif
4751,003 HAR c,Text,4751,2009-06-24,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Cerdas Jelajah Internet
5930,004.2 HER a,Serial,5930,2013-02-20,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Adobe InDesign CS5 Untuk Desain Publishing Buku & Majalah
4901,004.3 SET c,Text,4901,2009-12-04,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,cara Praktis menglola File Di Komputer
6088,004.2 RAZ k,Text,6088,2013-09-30,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kumpas Tuntas Microsoft Office 2003
6089,004.2 PER t,Text,6089,2013-09-30,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,36 jam Belajar Komputer Microsoft Access 2003
6267,005 GUM m,Text,6267,2014-07-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Modul Microsoft Excel 2007
6266,005 WIN b,Text,6266,2014-07-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Belajar Mudah & Cepat Microsoft Excel 2010
6138,004.2 AND s,Text,6138,2014-01-03,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,123 Fungsi dan Formula Excel 2010
6090,004.2 TIM m,Text,6090,2013-09-30,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Mahir CorelDRAW
2912,629 TIM p,Text,2912,2001-07-29,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Panduan Lengkap Microsoft Word 97
4346,001.4 TIM p1,Text,4346,2008-10-06,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Penelitihan Ilmiah Remaja 1
4347,001.4 TIM p2,Text,4347,2008-10-06,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Penelitihan Ilmiah Remaja 2
6758,005 MUA g,Text,6758,2017-07-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Gaul Bareng Blogspot… yuk!
3410,005 ARI w,Text,3410,2004-02-29,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Word Star 7.0 Untuk Pengetikan Sehari-hari
7140,070.4 ISN m,Text,7140,2019-10-20,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Menulis Berita Di Media Massa & Produksi Feature
7148,070.4 NUR d,Text,7148,2019-10-28,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Deadline Menaklukan  Rintangan menulis Berita Televisi
5218,001.4 MIL a,Text,5218,2010-07-27,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Analisis Data Kualitatif 
6542,028 TIM s,Text,6542,2016-08-05,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Semua Bisa Beraksi
6549,028 PAL s,Text,6549,2016-08-05,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,SOP Standar Operasional Prosedur
3413,006.4 TIM t,Text,3413,2004-04-23,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Terampil Memanfaatkan Komputer Dalam jaringan
4879,070.4 NUR m,Serial,4879,2008-08-12,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Membina majalah Dinding
178,070.4 WIR m,Text,178,1996-04-24,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Menulis Karangan Untuk Pers
7433,070.1 TIM r,Serial,7433,2021-02-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Rumah Tangga Kesehatan Jan.2021
7434,070.1 TIM r,Serial,7434,2021-02-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Rumah Tangga Kesehatan Feb.2021
7435,070.1 TIM r,Serial,7435,2021-02-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Rumah Tangga Kesehatan Maret2021
4643,028 BUZ b,Text,4643,2009-05-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Buku Pintar Mind Map Untuk Anak 
5513,031 JAW e,Reference,5513,2011-03-03,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Ensiklopedi Galaksi Dan Atmosfer
5316,031 JAW e,Reference,5316,2010-09-27,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Ensiklopedi Matahari dan Bulan
3650,020.6 DAR m,Text,3650,2004-10-27,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Manajemen Da tata Kerja Perpustakaan sekolah
4896,005 SAE p,Text,4896,2008-08-12,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Pengolahan Grafik & Ilustrasi Corel Draw!6
