414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
0337/,020 SUM p,Text,,4/1/1985,,,000-099,,Available,,,,,IDR,,,,Pelayanan Perpustakaan
2058,020 SUM p,Text,,14 Maret 1995,,,000-099,,Available,,,,,IDR,,,,Perpustakaan Organisasi dan Tatakerjanya
45/93,060 kus m,Text,,28-Apr-94,,,000-099,,Available,,,,,IDR,,,,Menimba Ilmu dari Museum
17/89,028 LAT p,Text,,28 Januari 1985,,,000-099,,Available,,,,,IDR,,,,Pedoman Ringkas Penyusunan karya Tulis
288,001 SET m,Text,,6 Desember 1993,,,000-099,,Available,,,,,IDR,,,,Memperoleh Inspirasi dari Alam
2641,070.4 PAS b,Text,,7 Nov. 1997,,,000-099,,Available,,,,,IDR,,,,Bagaimana Mengelola Penerbitan Media Sekolah
0517,001.2 IST p,Text,,23 Januari 1987,,,000-099,,Available,,,,,IDR,,,,Pengetahuan Ringkas - I
0518,001.2 IST p,Text,,23 Januari 1987,,,000-099,,Available,,,,,IDR,,,,Pengetahuan Ringkas - II
0212,001 NUR k,Text,,3 Nov. 1984,,,000-099,,Available,,,,,IDR,,,,Kumpulan Fikiran
598,001 TIM a,Text,,30 Juni 1988,,,000-099,,Available,,,,,IDR,,,,Aku Ingin Tahu
1856,001.4 TIM p,Text,,15 Juli 1994,,,000-099,,Available,,,,,IDR,,,,Seminar Nasional Tentang Pemulung
4889,001 SPU b,Text,,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,,,Bank Ilmu Pengetahuan Mutakhir
284,001 PIR m,Text,,6 Desember 1999,,,000-099,,Available,,,,,IDR,,,,Mengenal Alam Semesta For Beginners
4768,025 BAF p,Text,,11 Agustus 2009,,,000-099,,Available,,,,,IDR,,,,Pengelolaan Perpustakaan sekolah
3369,028 RAH m,Serial,,22 Oktober 2003,,,000-099,,Available,,,,,IDR,,,,Manfaat klipping Dan Majalah Dinding
5279,020.15 MUS k,Text,,16-Sep-10,,,000-099,,Available,,,,,IDR,,,,KTSP Dasar Pemahaman Dan Pengembangan
5929,004.2 SAL p,Text,,20 Februari 2013,,,000-099,,Available,,,,,IDR,,,,Panduan Sistem Informasi Akademik Sekolah Berbasis WEB
3622,070.4 FAD t,Text,,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,,,Terampil Wawancara
6847,004.6 ORO l,Text,,17 Juli 2017,,,000-099,,Available,,,,,IDR,,,,55 Tip Terbaik Google +
7142,006 RAC m,Text,,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,,,Mudah Menjadi You Tuber Profesional
5722,004.2 REI d,Text,,31-10-2011,,,000-099,,Available,,,,,IDR,,,,Dokumentasi Photoshop
5051,004.2 GUN d,Text,,18 Maret 2010,,,000-099,,Available,,,,,IDR,,,,Digital Painting With Photoshop
4905,005.3 HIR c,Text,,4 Desember 2009,,,000-099,,Available,,,,,IDR,,,,cara Praktis membasmi Virus Ganas Di Komputer
6738,003 TIM t,Text,,5 Juni 1017,,,000-099,,Available,,,,,IDR,,,,Teknik Cepat Membuat Forum Internet
6268,005 NIN t,Text,,16 Juni 2014,,,000-099,,Available,,,,,IDR,,,,7 Jam Belajar Interaktif Word 2010 Untuk Orang awam
7135,070.4 LES f,Serial,,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,,,feature Tulisan Jurnalistik Yang Kreatif
4751,003 HAR c,Text,,24 Juni 2009,,,000-099,,Available,,,,,IDR,,,,Cerdas Jelajah Internet
5930,004.2 HER a,Serial,,20 Februari 2013,,,000-099,,Available,,,,,IDR,,,,Adobe InDesign CS5 Untuk Desain Publishing Buku & Majalah
4901,004.3 SET c,Text,,4 Desember 2009,,,000-099,,Available,,,,,IDR,,,,cara Praktis menglola File Di Komputer
6088,004.2 RAZ k,Text,,30-Sep-13,,,000-099,,Available,,,,,IDR,,,,Kumpas Tuntas Microsoft Office 2003
