item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
0337/,020 SUM p,Text,0337/,4/1/1985,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
2058,020 SUM p,Text,2058,3/14/1995,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
45/93,060 kus m,Text,45/93,4/28/1994,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
17/89,028 LAT p,Text,17/89,1/28/1985,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
288,001 SET m,Text,288,12/6/1993,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
2641,070.4 PAS b,Text,2641,7 Nov. 1997,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
517,001.2 IST p,Text,517,23 Januari 1987,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
518,001.2 IST p,Text,518,23 Januari 1987,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
212,001 NUR k,Text,212,3 Nov. 1984,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
598,001 TIM a,Text,598,30 Juni 1988,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
1856,001.4 TIM p,Text,1856,15 Juli 1994,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4889,001 SPU b,Text,4889,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
284,001 PIR m,Text,284,6 Desember 1999,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4768,025 BAF p,Text,4768,11 Agustus 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3369,028 RAH m,Serial,3369,22 Oktober 2003,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5279,020.15 MUS k,Text,5279,9/16/2010,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5929,004.2 SAL p,Text,5929,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3622,070.4 FAD t,Text,3622,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6847,004.6 ORO l,Text,6847,17 Juli 2017,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7142,006 RAC m,Text,7142,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5722,004.2 REI d,Text,5722,31-10-2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5051,004.2 GUN d,Text,5051,18 Maret 2010,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4905,005.3 HIR c,Text,4905,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6738,003 TIM t,Text,6738,5 Juni 1017,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6268,005 NIN t,Text,6268,16 Juni 2014,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7135,070.4 LES f,Serial,7135,26 Oktober 2019,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4751,003 HAR c,Text,4751,24 Juni 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5930,004.2 HER a,Serial,5930,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4901,004.3 SET c,Text,4901,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6088,004.2 RAZ k,Text,6088,9/30/2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6089,004.2 PER t,Text,6089,9/30/2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6267,005 GUM m,Text,6267,16 Juli 2014,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6266,005 WIN b,Text,6266,16 Juli 2014,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6138,004.2 AND s,Text,6138,3 januari 2014,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6090,004.2 TIM m,Text,6090,9/30/2013,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
2912,629 TIM p,Text,2912,29 Juli 2001,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4346,001.4 TIM p1,Text,4346,6 Oktober 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4347,001.4 TIM p2,Text,4347,6 Oktober 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6758,005 MUA g,Text,6758,17 Juli 2017,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3410,005 ARI w,Text,3410,29 Februari 2004,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7140,070.4 ISN m,Text,7140,20 oktober 2019,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7148,070.4 NUR d,Text,7148,28 Oktober 2019,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5218,001.4 MIL a,Text,5218,27 Juli 2010,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6542,028 TIM s,Text,6542,5 Agustus 2016,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
6549,028 PAL s,Text,6549,5 Agustus 2016,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
3413,006.4 TIM t,Text,3413,4/23/2004,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4879,070.4 NUR m,Serial,4879,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
178,070.4 WIR m,Text,178,4/24/1996,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7433,070.1 TIM r,Serial,7433,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7434,070.1 TIM r,Serial,7434,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7435,070.1 TIM r,Serial,7435,10 Februari 2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4643,028 BUZ b,Text,4643,16 Mei 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5513,031 JAW e,Reference,5513,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
