item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
0337/,020 SUM p,Text,0337/,4/1/1985,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
2058,020 SUM p,Text,2058,3/14/1995,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
45/93,060 kus m,Text,45/93,4/28/1994,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
17/89,028 LAT p,Text,17/89,1/28/1985,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
288,001 SET m,Text,288,12/6/1993,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
2641,070.4 PAS b,Text,2641,11/7/1997,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
517,001.2 IST p,Text,517,1/23/1987,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
518,001.2 IST p,Text,518,1/23/1987,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
212,001 NUR k,Text,212,11/3/1984,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
598,001 TIM a,Text,598,6/30/1988,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
1856,001.4 TIM p,Text,1856,7/15/1994,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4889,001 SPU b,Text,4889,8/12/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
284,001 PIR m,Text,284,12/6/1999,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4768,025 BAF p,Text,4768,8/11/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3369,028 RAH m,Serial,3369,10/22/2003,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5279,020.15 MUS k,Text,5279,9/16/2010,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5929,004.2 SAL p,Text,5929,2/20/2013,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
3622,070.4 FAD t,Text,3622,10/27/2004,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6847,004.6 ORO l,Text,6847,7/17/2017,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7142,006 RAC m,Text,7142,10/26/2019,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5722,004.2 REI d,Text,5722,10/31/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
